Muestra,Año,iteracion,Clorinidad(g/Kg),Salinidad(g/Kg),Oxigeno disuelto(mg/L),%Sat O2,nitrito(uM),amonio(uM),fosforo(uM),silicio(uM),Chl_a(mg/L),Chl_b(mg/L),Chl_c(mg/L),Chl_a_lor(mg/L),Feofitina(mg/L)
PW1,2026,1,20.2050,36.4700,7.5,100,0.3,-11.79,2.3,,0.79,1.79,0.49,0.15,1.54
PW1,2026,2,,,7.35,98,0.3,-4.99,2.9,,,,,,
PW1,2026,3,,,,,,,2.5,,,,,,
PW2,2026,1,19.9545,36.0179,7.5,100,0.34,-14.96,2.5,,0.83,0.83,0.42,0.29,1.74
PW2,2026,2,,,7.35,98,0.25,-13.9,2.2,,,,,,
PW2,2026,3,,,,,,,-0.1,,,,,,
EN1,2026,1,22.5428,40.6897,6.6,90.41,0.65,-11.5,3.1,4.189349000,1.77,0.59,0.46,0.65,3.70
EN1,2026,2,,,6.6,90.41,0.74,-11.7,2.5,13.18343200,,,,,
EN1,2026,3,,,,,,,22.7,6.023669000,,,,,
EN2,2026,1,23.3777,42.1967,6.6,90.41,0.81,-18.1,36.2,-2.970414000,1.87,0.88,0.58,1.29,4.48
EN2,2026,2,,,6.45,88.36,0.81,-22.2,4.2,-3.562130000,,,,,
EN2,2026,3,,,,,,,3.8,-4.153846000,,,,,
ES1,2026,1,20.0380,36.1686,6.75,90,1.07,17.5,2,19.75147900,1.80,1.18,0.56,0.92,3.95
ES1,2026,2,,,6.6,88,1.02,-3.2,3.6,40.46153800,,,,,
ES1,2026,3,,,,,,,2.4,3.183432000,,,,,
ES2,2026,1,19.2031,34.6616,7.8,104,1.21,-3.1,3.7,3.183432000,2.01,1.76,0.65,1.58,5.13
ES2,2026,2,,,6.75,90,0.98,-8.8,3.4,36.9112430,,,,,
ES2,2026,3,,,,,,,1.7,33.36094700
