   dH1H2        dH1H3       Eh
   0.60000000   0.60000000  -1.39672786
   0.60000000   0.80000000  -1.47950227
   0.60000000   1.00000000  -1.52634353
   0.60000000   1.20000000  -1.55662930
   0.60000000   1.40000000  -1.57656392
   0.60000000   1.60000000  -1.58940915
   0.60000000   1.80000000  -1.59738934
   0.60000000   2.00000000  -1.60215923
   0.60000000   2.20000000  -1.60491590
   0.60000000   2.40000000  -1.60646773
   0.60000000   2.60000000  -1.60732398
   0.80000000   0.60000000  -1.47950229
   0.80000000   0.80000000  -1.52697035
   0.80000000   1.00000000  -1.55304210
   0.80000000   1.20000000  -1.57495047
   0.80000000   1.40000000  -1.59168687
   0.80000000   1.60000000  -1.60331833
   0.80000000   1.80000000  -1.61087910
   0.80000000   2.00000000  -1.61555638
   0.80000000   2.20000000  -1.61834470
   0.80000000   2.40000000  -1.61996175
   0.80000000   2.60000000  -1.62088023
   1.00000000   0.60000000  -1.52634355
   1.00000000   0.80000000  -1.55304209
   1.00000000   1.00000000  -1.55320974
   1.00000000   1.20000000  -1.55860743
   1.00000000   1.40000000  -1.56769283
   1.00000000   1.60000000  -1.57616707
   1.00000000   1.80000000  -1.58249484
   1.00000000   2.00000000  -1.58672070
   1.00000000   2.20000000  -1.58937035
   1.00000000   2.40000000  -1.59096791
   1.00000000   2.60000000  -1.59190564
   1.20000000   0.60000000  -1.55662932
   1.20000000   0.80000000  -1.57495047
   1.20000000   1.00000000  -1.55860742
   1.20000000   1.20000000  -1.54632325
   1.20000000   1.40000000  -1.54340178
   1.20000000   1.60000000  -1.54479296
   1.20000000   1.80000000  -1.54723915
   1.20000000   2.00000000  -1.54946898
   1.20000000   2.20000000  -1.55114995
   1.20000000   2.40000000  -1.55230174
   1.20000000   2.60000000  -1.55304379
   1.40000000   0.60000000  -1.57656394
   1.40000000   0.80000000  -1.59168687
   1.40000000   1.00000000  -1.56769283
   1.40000000   1.20000000  -1.54340178
   1.40000000   1.40000000  -1.53098017
   1.40000000   1.60000000  -1.52615405
   1.40000000   1.80000000  -1.52467406
   1.40000000   2.00000000  -1.52447217
   1.40000000   2.20000000  -1.52467771
   1.40000000   2.40000000  -1.52495445
   1.40000000   2.60000000  -1.52518909
   1.60000000   0.60000000  -1.58940916
   1.60000000   0.80000000  -1.60331833
   1.60000000   1.00000000  -1.57616707
   1.60000000   1.20000000  -1.54479296
   1.60000000   1.40000000  -1.52615405
   1.60000000   1.60000000  -1.51735413
   1.60000000   1.80000000  -1.51342844
   1.60000000   2.00000000  -1.51175677
   1.60000000   2.20000000  -1.51109765
   1.60000000   2.40000000  -1.51087496
   1.60000000   2.60000000  -1.51082520
   1.80000000   0.60000000  -1.59738935
   1.80000000   0.80000000  -1.61087910
   1.80000000   1.00000000  -1.58249484
   1.80000000   1.20000000  -1.54723915
   1.80000000   1.40000000  -1.52467406
   1.80000000   1.60000000  -1.51342844
   1.80000000   1.80000000  -1.50799369
   1.80000000   2.00000000  -1.50540503
   1.80000000   2.20000000  -1.50419824
   1.80000000   2.40000000  -1.50365344
   1.80000000   2.60000000  -1.50341661
   2.00000000   0.60000000  -1.60215924
   2.00000000   0.80000000  -1.61555638
   2.00000000   1.00000000  -1.58672070
   2.00000000   1.20000000  -1.54946898
   2.00000000   1.40000000  -1.52447217
   2.00000000   1.60000000  -1.51175677
   2.00000000   1.80000000  -1.50540503
   2.00000000   2.00000000  -1.50224796
   2.00000000   2.20000000  -1.50069387
   2.00000000   2.40000000  -1.49993995
   2.00000000   2.60000000  -1.49957888
   2.20000000   0.60000000  -1.60491591
   2.20000000   0.80000000  -1.61834470
   2.20000000   1.00000000  -1.58937035
   2.20000000   1.20000000  -1.55114995
   2.20000000   1.40000000  -1.52467771
   2.20000000   1.60000000  -1.51109765
   2.20000000   1.80000000  -1.50419824
   2.20000000   2.00000000  -1.50069387
   2.20000000   2.20000000  -1.49892225
   2.20000000   2.40000000  -1.49803415
   2.20000000   2.60000000  -1.49759164
   2.40000000   0.60000000  -1.60646773
   2.40000000   0.80000000  -1.61996175
   2.40000000   1.00000000  -1.59096791
   2.40000000   1.20000000  -1.55230174
   2.40000000   1.40000000  -1.52495445
   2.40000000   1.60000000  -1.51087496
   2.40000000   1.80000000  -1.50365344
   2.40000000   2.00000000  -1.49993995
   2.40000000   2.20000000  -1.49803415
   2.40000000   2.40000000  -1.49706143
   2.40000000   2.60000000  -1.49656661
   2.60000000   0.60000000  -1.60732399
   2.60000000   0.80000000  -1.62088023
   2.60000000   1.00000000  -1.59190564
   2.60000000   1.20000000  -1.55304379
   2.60000000   1.40000000  -1.52518909
   2.60000000   1.60000000  -1.51082520
   2.60000000   1.80000000  -1.50341661
   2.60000000   2.00000000  -1.49957888
   2.60000000   2.20000000  -1.49759164
   2.60000000   2.40000000  -1.49656661
   2.60000000   2.60000000  -1.49603901
