"time","GEN","TEM","STRUCT"
0,1,1,1
1.28910667758994,2,1,451
68.0790874993364,2,1,313
69.1435442333422,3,1,500
70.1451185194893,3,1,528
71.108534532133,4,1,481
72.0985498144967,5,2,580
72.9313140892979,6,1,546
76.4267057106516,4,1,158
77.5973379062844,4,1,446
78.5701950290582,6,1,476
79.5413141299616,6,2,610
80.090950699592,8,2,878
80.5494944206116,10,3,1116
80.9421034487399,10,2,1225
81.4065487662782,10,2,1067
81.9108906970569,11,2,1018
82.4821728807311,12,1,804
84.8683882888317,11,1,358
85.9646964608699,10,1,484
86.7783933795628,10,2,683
87.3380013733178,11,2,892
87.8994506867191,12,1,858
88.7679965373484,14,1,522
90.1078980407756,14,2,681
90.6177275864527,14,3,1049
90.9888378495375,16,3,1255
91.3354611919494,17,3,1394
91.6678909752839,18,3,1487
92.0092086428779,18,3,1553
92.3372863011983,20,3,1475
92.6374265675354,19,4,1596
92.9320728329763,19,3,1727
93.2440891331713,20,3,1662
93.5641062051216,21,3,1569
93.9370062502087,21,1,1285
95.2056034444354,22,0,141
97.709164513968,21,2,692
98.2716590769817,21,2,901
98.7783042278404,22,2,954
99.1893221877105,22,2,1137
99.8287058401188,23,1,735
100.467421484038,23,2,833
100.995949689559,24,2,918
101.38250102181,23,3,1201
101.739594252087,23,3,1321
102.076453291215,26,3,1474
102.400186244567,26,3,1496
102.656209906211,25,5,1871
102.882976446965,27,5,2071
103.097312588371,30,5,2190
103.311348446599,30,5,2326
103.525167274555,32,5,2366
103.729453959744,33,5,2373
103.938006893358,33,5,2445
104.152670875901,33,4,2366
104.37350843655,32,5,2281
104.587726543763,32,5,2361
104.797014179579,35,5,2424
105.005098604723,35,5,2434
105.190026782857,35,6,2546
105.370126232393,37,6,2692
105.551187776753,37,6,2798
105.719028482934,38,6,2927
105.884629735546,40,6,2923
106.051373605524,40,6,2945
106.217866123743,41,6,2934
106.393312938024,44,6,2957
106.570598041658,46,5,2860
106.759364231126,46,5,2718
106.954617599713,46,5,2643
107.148906911978,48,5,2541
107.365867200481,48,4,2360
107.60258172517,47,5,2219
107.818844149401,47,5,2293
108.027682354084,46,5,2379
108.231422715478,47,5,2436
108.431437732926,48,5,2481
108.625252673934,48,5,2459
108.824542449742,50,5,2531
109.007621442741,50,6,2649
109.167247353502,49,6,2889
109.322535222975,47,8,3019
109.461666793457,47,8,3263
109.594495727571,47,8,3487
109.723765792244,49,9,3691
109.844176846261,50,9,3886
109.966347609661,51,9,4065
110.077239468745,51,9,4159
110.192201976719,51,9,4189
110.30721791661,52,9,4284
110.42436653124,52,8,4267
110.543585761926,52,8,4268
110.668537141037,54,8,4154
110.804047896905,55,7,3998
110.947739896281,56,6,3822
111.098437589911,56,6,3612
111.255455567563,59,6,3433
111.409980932813,59,6,3339
111.568405050684,59,6,3163
111.733101738354,60,6,3096
111.901243265941,61,5,2981
112.086211472217,60,5,2849
112.280508836844,61,5,2714
112.48799475824,61,4,2500
112.706600411908,60,5,2400
112.906851309858,60,5,2428
113.108808425713,59,6,2561
113.288618860462,59,6,2619
113.46308023326,60,6,2736
113.634759627384,60,6,2846
113.805165354235,60,6,2859
113.972582577463,59,6,2923
114.137551071512,61,6,2923
114.328022879271,61,5,2736
114.524100792698,61,6,2662
114.709391992814,61,5,2661
114.908295537295,61,5,2613
115.099120570291,63,5,2644
115.30542445574,62,5,2566
115.501620056768,62,5,2504
115.708839303376,63,4,2390
115.942493938798,63,5,2322
116.14426027876,63,5,2382
116.343085807865,64,5,2417
116.545158010552,64,5,2512
116.749057426079,63,5,2523
116.955114057459,63,5,2567
117.15736867473,64,5,2550
117.370917897657,65,4,2366
117.599199508477,66,4,2237
117.842373882874,67,4,2136
118.086098722043,68,4,2064
118.314635614721,67,5,2185
118.488463582145,66,7,2600
118.638490766264,67,8,2957
118.784026668674,67,8,3149
118.921484899044,69,8,3413
119.062147925488,69,8,3481
119.197477643489,70,8,3582
119.329178089539,72,8,3698
119.45655813292,75,8,3763
119.585698016984,78,8,3777
119.708080881137,78,9,3919
119.820945348873,78,9,4045
119.934970960018,79,9,4135
120.048442634128,79,9,4181
120.161967322158,81,9,4265
120.279737685,83,9,4331
120.391140387599,83,8,4304
120.505823049262,84,9,4261
